id;seg_type;seg_id;swing_ratios
ArtPepper_Anthropology_FINAL.sv;phrases;2;2.2831050228310503
ArtPepper_Anthropology_FINAL.sv;phrases;2;1.953125
ArtPepper_Anthropology_FINAL.sv;phrases;2;1.6025641025641026
ArtPepper_Anthropology_FINAL.sv;phrases;2;1.0298661174047374
ArtPepper_Anthropology_FINAL.sv;phrases;2;1.4450867052023122
ArtPepper_Anthropology_FINAL.sv;phrases;2;1.35685210312076
ArtPepper_Anthropology_FINAL.sv;phrases;2;1.658374792703151
ArtPepper_Anthropology_FINAL.sv;phrases;2;1.7574692442882252
ArtPepper_Anthropology_FINAL.sv;phrases;2;1.314060446780552
ArtPepper_Anthropology_FINAL.sv;phrases;2;1.3717421124828533
ArtPepper_Anthropology_FINAL.sv;phrases;2;1.838235294117647
ArtPepper_Anthropology_FINAL.sv;phrases;4;1.2004801920768309
ArtPepper_Anthropology_FINAL.sv;phrases;4;0.929368029739777
ArtPepper_Anthropology_FINAL.sv;phrases;4;1.2515644555694618
ArtPepper_Anthropology_FINAL.sv;phrases;4;1.721170395869191
ArtPepper_Anthropology_FINAL.sv;phrases;4;1.287001287001287
ArtPepper_Anthropology_FINAL.sv;phrases;4;1.7857142857142856
ArtPepper_Anthropology_FINAL.sv;phrases;4;1.9011406844106464
ArtPepper_Anthropology_FINAL.sv;phrases;4;1.7391304347826089
ArtPepper_Anthropology_FINAL.sv;phrases;4;1.3966480446927374
ArtPepper_Anthropology_FINAL.sv;phrases;11;1.4992503748125936
ArtPepper_Anthropology_FINAL.sv;phrases;11;1.5313935681470137
ArtPepper_Anthropology_FINAL.sv;phrases;11;1.3812154696132597
ArtPepper_Anthropology_FINAL.sv;phrases;11;1.697792869269949
ArtPepper_Anthropology_FINAL.sv;phrases;11;0.88339222614841
ArtPepper_Anthropology_FINAL.sv;phrases;11;1.0330578512396695
ArtPepper_Anthropology_FINAL.sv;phrases;13;0.942507068803016
ArtPepper_Anthropology_FINAL.sv;phrases;13;2.4906600249066
ArtPepper_Anthropology_FINAL.sv;phrases;13;1.4662756598240467
ArtPepper_Anthropology_FINAL.sv;phrases;13;1.1376564277588168
ArtPepper_Anthropology_FINAL.sv;phrases;13;0.6765899864682002
ArtPepper_Anthropology_FINAL.sv;phrases;13;1.4084507042253522
ArtPepper_Anthropology_FINAL.sv;phrases;13;0.7980845969672786
ArtPepper_Anthropology_FINAL.sv;phrases;13;1.36986301369863
ArtPepper_Anthropology_FINAL.sv;phrases;13;1.3717421124828533
ArtPepper_Anthropology_FINAL.sv;phrases;14;0.6138735420503376
ArtPepper_Anthropology_FINAL.sv;phrases;14;1.349527665317139
ArtPepper_Anthropology_FINAL.sv;phrases;14;1.76678445229682
ArtPepper_Anthropology_FINAL.sv;phrases;14;2.032520325203252
ArtPepper_Anthropology_FINAL.sv;phrases;14;1.5455950540958268
ArtPepper_Anthropology_FINAL.sv;phrases;14;1.8148820326678765
ArtPepper_Anthropology_FINAL.sv;phrases;14;1.218026796589525
ArtPepper_Anthropology_FINAL.sv;phrases;14;1.680672268907563
ArtPepper_Anthropology_FINAL.sv;phrases;14;1.0256410256410258
ArtPepper_Anthropology_FINAL.sv;phrases;14;1.1862396204033214
ArtPepper_Anthropology_FINAL.sv;phrases;14;1.1990407673860912
